,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
58,SarahBaraBim,#FBLC #LongCovid Advocate. Kindergarten Teacher. Parent #Spoonie Brittanica lady living in a Twitter world. Mama Grizzly Ally 🏳️‍🌈 She/Her,Our Home on Native Land 🇨🇦,77,43,396,1,"I’d do anything to be able to taste food correctly again :((( I miss pizza, I miss bacon , I miss cheeseburgers, I miss my hibachi place, I miss the feeling I get when I smell great food :( 13 months and counting … #Parosmia 😖 #postcovid",[]
59,Mosaic_Festival,"CCAI production Award winning MultiDisciplinary Arts Festival of Mississauga, TD MOSIAC 2021online June-Aug # Facebooklive mosaic_Mississauga",Canada,1178,1316,4534,3,"02.02.2022 The CCAI supported show goes up at the @AGMengage today . Entitled…..till all are healed, curated by @Iamasmamahmood , it’s to thank the #frontliners , bring attention to our lives as we step into #postcovid era, and a message of hope . Thanks to funders and the arts https://t.co/1gyNssIDfm","['frontliners', 'postcovid']"
60,Mosaic_Festival,"CCAI production Award winning MultiDisciplinary Arts Festival of Mississauga, TD MOSIAC 2021online June-Aug # Facebooklive mosaic_Mississauga",Canada,1178,1316,4534,3,"It’s happening ! Installing the show #..tillAllareHealed, thanking front liners for their service and artistic impressions of #CovidRecovery #postcovid era.. @AGMengage  opening this weekend with 28 artists including @CharlesPachter with his brand new works . Supported by #Ccai https://t.co/bF4F2fkCj6",[]
61,iansilverstein,Consultant helping build your business / brand positioning / mentoring / creativity / design management / strategic and commercial advice #goodworkgoodpeople,03335771147,430,419,13039,0,The best coffee shops for getting some work done in London. #lomdon #coffeeshops #working #postcovid #thebest #choices #blessed https://t.co/j1h7dGrwkC,"['lomdon', 'coffeeshops', 'working', 'postcovid', 'thebest', 'choices', 'blessed']"
62,sam_thomas02,💉Student Nurse (3rd/ Final Year) | 🏥 NHS HCSW | #MAANUP_Study | 🏴󠁧󠁢󠁳󠁣󠁴󠁿 |           All views my own👍,,628,336,451,0,"🌟 A ‘must read’ article for anyone involved in the care of individuals approaching the end of life… very relevant for #postcovid palliative care provision 

#PalliativeCare #communities #NurseTwitter #studentnurse https://t.co/P0FhIUzmKK","['postcovid', 'PalliativeCare', 'communities', 'NurseTwitter', 'studentnurse']"
63,adroitjobs,Providing the best IT talent all over US to Fortune 500 Clients and MSP partners !! #TalentAcquisition #Staffing #Recruitment #Recruiting #Workforce,"Fremont, California, USA",210,250,52351,0,"The 10 best U.S. jobs of 2022, according to Glassdoor—they all pay over $100,000. @CNBCMakeIt https://t.co/nkbI4K3ToR

#TechJobs #NewJobs #USA #Recruitment #PostCovid https://t.co/3iAhy5ol3e","['TechJobs', 'NewJobs', 'USA', 'Recruitment', 'PostCovid']"
64,MDTolgaAksu,"Heart Rhythm Specialist, AE in JECG, SoMe and AE in @JICE_EP , dady of a princess, Prof, GP ablator, Yeditepe University Opinions are my own🎾🏇🏍🏂🎸","İstanbul, Türkiye",288,5009,12734,3,Happy to share our recent article. How COVID effects us? Still unresolved questions. This paper shows parasympathetic predominancy in #postcovid period https://t.co/y5dsrfsX6a. @TinaBaykaner @prof_serkan_cay @NurglKeser6 @ahmetilker1 @gorenek https://t.co/0l3ynpkGLX,[]
65,prof_serkan_cay,Cardiac Electrophysiology Specialist,"Ankara, Türkiye",49,450,138,3,Happy to share our recent article. How COVID effects us? Still unresolved questions. This paper shows parasympathetic predominancy in #postcovid period https://t.co/y5dsrfsX6a. @TinaBaykaner @prof_serkan_cay @NurglKeser6 @ahmetilker1 @gorenek https://t.co/0l3ynpkGLX,[]
66,booksteaandme1,Leigh ☕️ Teacher. Theatre. Literature. Slave to a Teenage Daughter. Book Reader. Instagram: https://t.co/Yrbwqk2Ppt   I lose my focus when I see a dog...,"Northampton, England",1642,961,2799,0,"Gosh, so so tired 🥱 after work today… although, I’m finding my recharge room is working marvellously this evening. 🫖 ☕️ #breatheitin #lovebooks #therapy #postcovid https://t.co/wNvI3lKUHT","['breatheitin', 'lovebooks', 'therapy', 'postcovid']"
67,Iamasmamahmood,"Visual artist/ Cultural markets expert/ history, poetry, science/ Artistic Director CCAI /cofounder Mosaic Festival RTC MISAFF https://t.co/iST0GuIDrM",Mississauga,1405,2118,20683,3,"It’s happening ! Installing the show #..tillAllareHealed, thanking front liners for their service and artistic impressions of #CovidRecovery #postcovid era.. @AGMengage  opening this weekend with 28 artists including @CharlesPachter with his brand new works . Supported by #Ccai https://t.co/bF4F2fkCj6","['CovidRecovery', 'postcovid', 'Ccai']"
68,TALI189,"CS,LLB,Company Law Expert,RTs r not endorsements,do nt support any political party,system improvements r my fav.tweets, keen on promoting all sports,",🇮🇳🇮🇳🇮🇳,4994,1175,210386,2,"Post covid brain fog is real. Also, complete lack of taste or interest in food, weird sluggishness, lack of concentration and constantly feeling disinterested. Hoping this would pass soon!  #postcovid",[]
69,AnupamkPandey,"IT Professional | ACM, SIG | D-NET
Google Analytics | SDG | Startup 🖊 
Tourism | Yoga | Blogger | Feed India ♥ 
🇮🇳 @TwitterForGood 🇮🇳 Photography 📷",India ,2729,44271,181973,2,"Post covid brain fog is real. Also, complete lack of taste or interest in food, weird sluggishness, lack of concentration and constantly feeling disinterested. Hoping this would pass soon!  #postcovid",[]
70,akhiladeshpande,"Head of Marketing & PR at Prime Venture Partners, 
Board member - ChangeMakers of Kanakapura Road",India,833,858,2088,2,"Post covid brain fog is real. Also, complete lack of taste or interest in food, weird sluggishness, lack of concentration and constantly feeling disinterested. Hoping this would pass soon!  #postcovid",['postcovid']
71,corona_tweet,,,0,477,82883,1,"Did you know? There is still room in an FDA-authorized clinical trials in “Long Haul” COVID. Trials are free of charge. Visit https://t.co/IcbZKFVyKJ or call (346) 900-0340 for patient info 
#postcovid #celltherapy #regenerativemedicine #COVID19 #coronavirus #covid #longhaul https://t.co/hhZiyHiHv2",[]
72,hopebio_org,On a mission to accelerate translational research in regenerative medicine and develop cures for all.,"Sugar Land, Texas",145,93,194,1,"Did you know? There is still room in an FDA-authorized clinical trials in “Long Haul” COVID. Trials are free of charge. Visit https://t.co/IcbZKFVyKJ or call (346) 900-0340 for patient info 
#postcovid #celltherapy #regenerativemedicine #COVID19 #coronavirus #covid #longhaul https://t.co/hhZiyHiHv2","['postcovid', 'celltherapy', 'regenerativemedicine', 'COVID19', 'coronavirus', 'covid', 'longhaul']"
73,AnneKni38953689,,,3053,2236,184186,2,"@bbcradioulster @dreddiemurphy @ucddublin 2/2 @JoanMcParland speaks about the lack of ME/CFS Specialist services in Northern Ireland.

Listen to the interview via our YouTube video or via the BBC catchup. 

https://t.co/SHKdgXNY7z

https://t.co/lukk2EwePb

#pwME #MyalgicE #Dysautonomia #PostCovid",[]
74,NurglKeser6,"Prof of Cardiology;Digital Cardiology (cofounder&president of  digital cardiology project group atTurkısh Soc.of cardiology),CV Imaging, heartdiseaseinwomen",,222,350,869,3,Happy to share our recent article. How COVID effects us? Still unresolved questions. This paper shows parasympathetic predominancy in #postcovid period https://t.co/y5dsrfsX6a. @TinaBaykaner @prof_serkan_cay @NurglKeser6 @ahmetilker1 @gorenek https://t.co/0l3ynpkGLX,[]
75,ForumLegum,"LEGUM DISCIPULUS FORUM
Collective of Law Students.
Law Students’ Voice.",,28,71,2727,4,"@ShashiTharoor @JumanaSherin00 @KeralaGovernor Many #Students  in #Kerala are reported to be in hospitals, some of them in critical conditions in ICUs due to #COVID19  and #postcovid complications.  #Onlineclass #ONLINEEXAM are the only safe modes.
@CMOKerala  @rbinducpm 
#StudentsLivesMatters 
#stopofflineexams","['Students', 'Kerala']"
76,paulastefan_uk,"Journalist. Specialised in Shipping & Logistics. #Africa #Europe and .... I ❤️ #Valencia, #Spain","City of London, London",1064,457,5075,6,"#Containerships sale &amp; purchase maket skyrocketing. The number of cellular #container #vessels reached an ATH in 2021 after shipowners appeared willing to pay almost any price to secure #tonnage in the frenetic #postCovid #market, says @Alphaliner https://t.co/6cfBwlBE4G","['Containerships', 'container', 'vessels']"
77,nemityadav1,Common looking people are the best in the world: that is the reason the Lord makes so many of them.,"Raipur , Chhattisgarh, India",576,1675,535202,13,"#Budget2022 balances the requirements for accelerating growth while taking care of equity. It addresses #postcovid challenges while laying the foundations for a #NewIndia that will meet the aspirations of its young population: VC @RajivKumar1

#PolicyPost

https://t.co/80DXVAmtrJ https://t.co/YxSH7CqKZs","['Budget2022', 'postcovid']"
78,jrcruz69,"ONE Line General Manager, El Salvador, Ex-President Shipping Lines Association, WILHELMSEN SHIPSERIVCES El Salvador General Manager and Opinion writer EDH","San Salvador, El Salvador",387,595,6990,6,"#Containerships sale &amp; purchase maket skyrocketing. The number of cellular #container #vessels reached an ATH in 2021 after shipowners appeared willing to pay almost any price to secure #tonnage in the frenetic #postCovid #market, says @Alphaliner https://t.co/6cfBwlBE4G","['Containerships', 'container', 'vessels']"
79,mdlaledinc,"Consultant Cardiologist, Heart imager, FESC, FEACVI, Coffee lover","İstanbul, Türkiye",227,426,399,3,Happy to share our recent article. How COVID effects us? Still unresolved questions. This paper shows parasympathetic predominancy in #postcovid period https://t.co/y5dsrfsX6a. @TinaBaykaner @prof_serkan_cay @NurglKeser6 @ahmetilker1 @gorenek https://t.co/0l3ynpkGLX,['postcovid']
80,MaritimeLogics,"A new way of #shipping agency business in a region that covers portions of three continents : #Europe, #Africa and #Asia | info@maritime-logistics.net",Malta,6171,10052,5918,6,"#Containerships sale &amp; purchase maket skyrocketing. The number of cellular #container #vessels reached an ATH in 2021 after shipowners appeared willing to pay almost any price to secure #tonnage in the frenetic #postCovid #market, says @Alphaliner https://t.co/6cfBwlBE4G","['Containerships', 'container', 'vessels']"
81,rafaelxllerena,"London,UK 1964. If you can't direct the wind;adjust your sails! #shipping #logistics | The free #economy is the friend of social capital | CEO @easyfreshglobal","Valencia,Spain",5438,6959,11381,6,"#Containerships sale &amp; purchase maket skyrocketing. The number of cellular #container #vessels reached an ATH in 2021 after shipowners appeared willing to pay almost any price to secure #tonnage in the frenetic #postCovid #market, says @Alphaliner https://t.co/6cfBwlBE4G","['Containerships', 'container', 'vessels', 'tonnage', 'postCovid', 'market']"
82,alisonkmcc,,,1244,960,58810,5,"🎙️ Announcing the #EHMA2022 keynote speakers ⤵️

Dr Josep Figueras, @OBShealth, will be speaking at the Plenary Session 'Implementing the lessons learnt from #COVID19', which will look at ways #HealthSystems can organise &amp; #health services adapt for a #postCOVID context. https://t.co/NcJQOjnjwB",['EHMA2022']
83,danielbeland,Directeur @MISCCAN @mcgillu Professeur @mcgillpolisci #academia #cdnpoli #politics #policy #Montreal #Canada Google Scholar: https://t.co/ijqBXVqY55 #photography,"Montréal, Québec",5710,5198,45430,5,"🎙️ Announcing the #EHMA2022 keynote speakers ⤵️

Dr Josep Figueras, @OBShealth, will be speaking at the Plenary Session 'Implementing the lessons learnt from #COVID19', which will look at ways #HealthSystems can organise &amp; #health services adapt for a #postCOVID context. https://t.co/NcJQOjnjwB",['EHMA2022']
84,TheWestonMale,@MEAssociation fundraiser and PR. Ex-journo still enjoying a bit of a scribble. DMs always open.,,904,1187,23464,2,"@bbcradioulster @dreddiemurphy @ucddublin 2/2 @JoanMcParland speaks about the lack of ME/CFS Specialist services in Northern Ireland.

Listen to the interview via our YouTube video or via the BBC catchup. 

https://t.co/SHKdgXNY7z

https://t.co/lukk2EwePb

#pwME #MyalgicE #Dysautonomia #PostCovid",[]
85,booly_supply,Amplifying #procurement & #supplychain content. We use AI to detect procurement fraud and financial crime. $420M in business fraud prevented so far 🚀,"London, United Kingdom",24,700,63362,1,"The first signs of #postcovid are starting to emerge. Various industries with inflated pricing models due to supply chain crisis or artificial price gauging need to be careful.

#supplychain #covid #housing #lumberprices 

https://t.co/8NLrLudfht",['postcovid']
86,AmishShahNY,"Globe Trotter  - Disruptor - Jewelry Lover - Innovator 
If you believe in it , don't ever give it up !  First they will laugh on you and then follow u","New York, USA",347,77,158,1,"The first signs of #postcovid are starting to emerge. Various industries with inflated pricing models due to supply chain crisis or artificial price gauging need to be careful.

#supplychain #covid #housing #lumberprices 

https://t.co/8NLrLudfht","['postcovid', 'supplychain', 'covid', 'housing', 'lumberprices']"
87,MEAssociation,"We raise funds for biomedical research into ME/CFS provide support, information & campaign for people in the UK. RTs don't always indicate agreement.","Gawcott, Bucks, for all UK",1490,18122,28486,2,"@bbcradioulster @dreddiemurphy @ucddublin 2/2 @JoanMcParland speaks about the lack of ME/CFS Specialist services in Northern Ireland.

Listen to the interview via our YouTube video or via the BBC catchup. 

https://t.co/SHKdgXNY7z

https://t.co/lukk2EwePb

#pwME #MyalgicE #Dysautonomia #PostCovid","['pwME', 'MyalgicE', 'Dysautonomia', 'PostCovid']"
88,arathi_ck,"Alumnus BSc Physics, MGGAC, Mahe.
Founding member @forummahe",,38,41,5850,4,"@ShashiTharoor @JumanaSherin00 @KeralaGovernor Many #Students  in #Kerala are reported to be in hospitals, some of them in critical conditions in ICUs due to #COVID19  and #postcovid complications.  #Onlineclass #ONLINEEXAM are the only safe modes.
@CMOKerala  @rbinducpm 
#StudentsLivesMatters 
#stopofflineexams","['Students', 'Kerala']"
89,ramshroff,,,50,310,998,1,"As per recent studies, women observed changes in physical, mental and menstrual health #postcovid
Join Dr. Jayanti Kamat live on 3rd February, Thursday 5.30pm at @charakpharma instagram for valuable suggestions on maintaining the menstrual health along with @Glamprotocol https://t.co/ch1gU3ocC2",['postcovid']
90,Suyash_Speaks,"बहुजन हिताय बहुजन सुखाय  l Mission UPSC l 'Art of living' Volunteer l Fergussonian l HOD, Mentors Cell, Maharashtra Shikshan Ganga l",कृष्णा - वारणा काठ,1589,164,7093,13,"#Budget2022 balances the requirements for accelerating growth while taking care of equity. It addresses #postcovid challenges while laying the foundations for a #NewIndia that will meet the aspirations of its young population: VC @RajivKumar1

#PolicyPost

https://t.co/80DXVAmtrJ https://t.co/YxSH7CqKZs","['Budget2022', 'postcovid']"
91,Shashwatsingh__,"Entrepreneur
Strategist
Founder
P-CAM
The Brand",,463,31,619,13,"#Budget2022 balances the requirements for accelerating growth while taking care of equity. It addresses #postcovid challenges while laying the foundations for a #NewIndia that will meet the aspirations of its young population: VC @RajivKumar1

#PolicyPost

https://t.co/80DXVAmtrJ https://t.co/YxSH7CqKZs","['Budget2022', 'postcovid']"
92,scottlgreer,"“Somebody ought to write a book about people sometime- they’re peculiar” Health politics, EU, UK, US. Professor, University of Michigan. Opinions personal.",,2936,2431,26032,5,"🎙️ Announcing the #EHMA2022 keynote speakers ⤵️

Dr Josep Figueras, @OBShealth, will be speaking at the Plenary Session 'Implementing the lessons learnt from #COVID19', which will look at ways #HealthSystems can organise &amp; #health services adapt for a #postCOVID context. https://t.co/NcJQOjnjwB",['EHMA2022']
93,Keskimaki,"Research Professor, Finnish Institute for Health and Welfare @THLorg @THLresearch; Professor of Health Services Research, @TampereUni @TampereUniSOC","Helsinki, Finland",905,1214,5008,5,"🎙️ Announcing the #EHMA2022 keynote speakers ⤵️

Dr Josep Figueras, @OBShealth, will be speaking at the Plenary Session 'Implementing the lessons learnt from #COVID19', which will look at ways #HealthSystems can organise &amp; #health services adapt for a #postCOVID context. https://t.co/NcJQOjnjwB",['EHMA2022']
94,Hollieann_,,"Stockholm, Sweden",50,19,138,0,"@BrundinPatrik @ludvigsson @ActaPaediatrica @regionorebrolan @karolinskainst I am curious to know how common seizures are in children with Long Covid. My daughter just had a 2 hour MRI with contrast, and an EEG for nocturnal seizures caused by LC.#postcovid #LongCovidKids","['postcovid', 'LongCovidKids']"
95,GeorgeConverses,Executive Director at @EHMAinfo.,🇬🇷🇮🇹🏳️‍🌈 Edinburgh,2510,1689,3555,5,"🎙️ Announcing the #EHMA2022 keynote speakers ⤵️

Dr Josep Figueras, @OBShealth, will be speaking at the Plenary Session 'Implementing the lessons learnt from #COVID19', which will look at ways #HealthSystems can organise &amp; #health services adapt for a #postCOVID context. https://t.co/NcJQOjnjwB",['EHMA2022']
96,shri_for,SHRI THE SPACE FOR HUMAN RIGHTS  INDIA,India,35,12,188,4,"@ShashiTharoor @JumanaSherin00 @KeralaGovernor Many #Students  in #Kerala are reported to be in hospitals, some of them in critical conditions in ICUs due to #COVID19  and #postcovid complications.  #Onlineclass #ONLINEEXAM are the only safe modes.
@CMOKerala  @rbinducpm 
#StudentsLivesMatters 
#stopofflineexams","['Students', 'Kerala']"
97,muditaa001,"Hi, Im a freelance writer and write for just about anything in this world. I also am an editor of some repute and am working on my first non-fiction book.",mumbai,1036,315,35631,13,"#Budget2022 balances the requirements for accelerating growth while taking care of equity. It addresses #postcovid challenges while laying the foundations for a #NewIndia that will meet the aspirations of its young population: VC @RajivKumar1

#PolicyPost

https://t.co/80DXVAmtrJ https://t.co/YxSH7CqKZs","['Budget2022', 'postcovid']"
98,Lubya15,aspiring rosesh sarabhai.,,1327,0,891,13,"#Budget2022 balances the requirements for accelerating growth while taking care of equity. It addresses #postcovid challenges while laying the foundations for a #NewIndia that will meet the aspirations of its young population: VC @RajivKumar1

#PolicyPost

https://t.co/80DXVAmtrJ https://t.co/YxSH7CqKZs","['Budget2022', 'postcovid']"
99,drchemistrajora,Researcher #👨‍🔬# Nano-Drug Delivery # Various nano formulations for mono and combination/multimodal approaches for multiple diseases.,New Delhi India ,419,39,100,13,"#Budget2022 balances the requirements for accelerating growth while taking care of equity. It addresses #postcovid challenges while laying the foundations for a #NewIndia that will meet the aspirations of its young population: VC @RajivKumar1

#PolicyPost

https://t.co/80DXVAmtrJ https://t.co/YxSH7CqKZs","['Budget2022', 'postcovid']"
